CAL_DATE,HIJRI_DATE,Main Event,Category_Channel,LOG_SALES,Is_Ramadan,Is_Eid_Fitr,Is_Eid_Adha
2022-01-03,1443-05-30,End Of Year,5_Brick and Mortar,13.61273678093112,0,0,0
2022-01-03,1443-05-30,End Of Year,5_E-Commerce,11.578871103154102,0,0,0
2022-01-03,1443-05-30,End Of Year,5_Noon,11.101634117242071,0,0,0
2022-01-03,1443-05-30,End Of Year,66_Brick and Mortar,8.160306796551906,0,0,0
2022-01-03,1443-05-30,End Of Year,6_Brick and Mortar,11.253886306206427,0,0,0
2022-01-03,1443-05-30,End Of Year,6_E-Commerce,9.743275460242259,0,0,0
2022-01-03,1443-05-30,End Of Year,6_Noon,9.053653812856549,0,0,0
2022-01-03,1443-05-30,End Of Year,7_Noon,7.926808354185657,0,0,0
2022-01-04,1443-06-01,End Of Year,102_Brick and Mortar,8.36821743189509,0,0,0
2022-01-04,1443-06-01,End Of Year,102_Noon,7.86351284756484,0,0,0
2022-01-04,1443-06-01,End Of Year,105_Brick and Mortar,10.683848131344702,0,0,0
2022-01-04,1443-06-01,End Of Year,105_E-Commerce,9.029564176496105,0,0,0
2022-01-04,1443-06-01,End Of Year,105_Noon,7.979979101245641,0,0,0
2022-01-04,1443-06-01,End Of Year,13_Brick and Mortar,11.769515861930334,0,0,0
2022-01-04,1443-06-01,End Of Year,13_E-Commerce,10.88367776578043,0,0,0
2022-01-04,1443-06-01,End Of Year,13_Noon,9.438698304742948,0,0,0
2022-01-04,1443-06-01,End Of Year,1_Brick and Mortar,14.3631453394197,0,0,0
2022-01-04,1443-06-01,End Of Year,1_E-Commerce,12.19272373241824,0,0,0
2022-01-04,1443-06-01,End Of Year,1_Noon,10.765903555723233,0,0,0
2022-01-04,1443-06-01,End Of Year,20_Brick and Mortar,13.25647229323022,0,0,0
2022-01-04,1443-06-01,End Of Year,20_E-Commerce,9.554100771016957,0,0,0
2022-01-04,1443-06-01,End Of Year,20_Services,7.538633361315204,0,0,0
2022-01-04,1443-06-01,End Of Year,2_Brick and Mortar,15.394822386803185,0,0,0
2022-01-04,1443-06-01,End Of Year,2_E-Commerce,12.915973402398153,0,0,0
2022-01-04,1443-06-01,End Of Year,2_Noon,12.93541317292924,0,0,0
2022-01-04,1443-06-01,End Of Year,3_Brick and Mortar,13.649486044020325,0,0,0
2022-01-04,1443-06-01,End Of Year,3_E-Commerce,11.125731101130228,0,0,0
2022-01-04,1443-06-01,End Of Year,3_Noon,10.548792844171519,0,0,0
2022-01-04,1443-06-01,End Of Year,4_Brick and Mortar,14.390448170665907,0,0,0
2022-01-04,1443-06-01,End Of Year,4_E-Commerce,12.942343552232558,0,0,0
2022-01-04,1443-06-01,End Of Year,4_Noon,10.432763124434326,0,0,0
2022-01-04,1443-06-01,End Of Year,5_Brick and Mortar,13.708095755926543,0,0,0
2022-01-04,1443-06-01,End Of Year,5_E-Commerce,11.767831512103832,0,0,0
2022-01-04,1443-06-01,End Of Year,5_Noon,11.047303422537782,0,0,0
2022-01-04,1443-06-01,End Of Year,66_Brick and Mortar,8.748119180846876,0,0,0
2022-01-04,1443-06-01,End Of Year,6_Brick and Mortar,11.339189739414204,0,0,0
2022-01-04,1443-06-01,End Of Year,6_E-Commerce,10.470853238001782,0,0,0
2022-01-04,1443-06-01,End Of Year,6_Noon,7.462714527762054,0,0,0
2022-01-04,1443-06-01,End Of Year,7_Brick and Mortar,7.7933723473878525,0,0,0
2022-01-05,1443-06-02,End Of Year,102_Brick and Mortar,7.928996842605125,0,0,0
2022-01-05,1443-06-02,End Of Year,102_Noon,6.9546006962136415,0,0,0
2022-01-05,1443-06-02,End Of Year,105_Brick and Mortar,10.776093863720986,0,0,0
2022-01-05,1443-06-02,End Of Year,105_E-Commerce,9.537524305555449,0,0,0
2022-01-05,1443-06-02,End Of Year,105_Noon,9.02622280331804,0,0,0
2022-01-05,1443-06-02,End Of Year,13_Brick and Mortar,11.470502293416594,0,0,0
2022-01-05,1443-06-02,End Of Year,13_E-Commerce,10.721303163258707,0,0,0
2022-01-05,1443-06-02,End Of Year,13_Noon,8.028194288876353,0,0,0
2022-01-05,1443-06-02,End Of Year,17_E-Commerce,7.421437638390478,0,0,0
2022-01-05,1443-06-02,End Of Year,1_Brick and Mortar,14.452713593044312,0,0,0
2022-01-05,1443-06-02,End Of Year,1_E-Commerce,12.792351303127285,0,0,0
2022-01-05,1443-06-02,End Of Year,1_Noon,10.321285958555682,0,0,0
2022-01-05,1443-06-02,End Of Year,20_Brick and Mortar,13.287038260163776,0,0,0
2022-01-05,1443-06-02,End Of Year,20_E-Commerce,9.594120102726059,0,0,0
2022-01-05,1443-06-02,End Of Year,20_Services,7.129954384447737,0,0,0
2022-01-05,1443-06-02,End Of Year,2_Brick and Mortar,15.44318617187586,0,0,0
2022-01-05,1443-06-02,End Of Year,2_E-Commerce,13.069052218180433,0,0,0
2022-01-05,1443-06-02,End Of Year,2_Noon,12.664527594742975,0,0,0
2022-01-05,1443-06-02,End Of Year,3_Brick and Mortar,13.592152733695254,0,0,0
2022-01-05,1443-06-02,End Of Year,3_E-Commerce,12.288954719002156,0,0,0
2022-01-05,1443-06-02,End Of Year,3_Noon,10.655849184618999,0,0,0
2022-01-05,1443-06-02,End Of Year,4_Brick and Mortar,14.448781951261193,0,0,0
2022-01-05,1443-06-02,End Of Year,4_E-Commerce,13.324701353508603,0,0,0
2022-01-05,1443-06-02,End Of Year,4_Noon,9.668819093873564,0,0,0
2022-01-05,1443-06-02,End Of Year,5_Brick and Mortar,13.714483683282843,0,0,0
2022-01-05,1443-06-02,End Of Year,5_E-Commerce,11.759712183961053,0,0,0
2022-01-05,1443-06-02,End Of Year,5_Noon,11.301198495769906,0,0,0
2022-01-05,1443-06-02,End Of Year,66_Brick and Mortar,7.179864217208616,0,0,0
2022-01-05,1443-06-02,End Of Year,6_Brick and Mortar,11.358446246680119,0,0,0
2022-01-05,1443-06-02,End Of Year,6_E-Commerce,10.09816556953357,0,0,0
2022-01-05,1443-06-02,End Of Year,6_Noon,8.598518768168935,0,0,0
2022-01-05,1443-06-02,End Of Year,7_Brick and Mortar,8.711780877379518,0,0,0
2022-01-06,1443-06-03,Mini Bts,102_Brick and Mortar,7.333382426914243,0,0,0
2022-01-06,1443-06-03,Mini Bts,105_Brick and Mortar,10.12770213009691,0,0,0
2022-01-06,1443-06-03,Mini Bts,105_E-Commerce,7.0110572573051035,0,0,0
2022-01-06,1443-06-03,Mini Bts,105_Noon,7.747881772188745,0,0,0
2022-01-06,1443-06-03,Mini Bts,13_Brick and Mortar,11.806661375907956,0,0,0
2022-01-06,1443-06-03,Mini Bts,13_E-Commerce,9.848406768340002,0,0,0
2022-01-06,1443-06-03,Mini Bts,13_Noon,7.405191665629111,0,0,0
2022-01-06,1443-06-03,Mini Bts,1_Brick and Mortar,13.813706381315926,0,0,0
2022-01-06,1443-06-03,Mini Bts,1_E-Commerce,11.892071244936757,0,0,0
2022-01-06,1443-06-03,Mini Bts,1_Noon,9.967406975822167,0,0,0
2022-01-06,1443-06-03,Mini Bts,20_Brick and Mortar,12.91498295755849,0,0,0
2022-01-06,1443-06-03,Mini Bts,20_E-Commerce,9.111807759708872,0,0,0
2022-01-06,1443-06-03,Mini Bts,20_Services,8.282493120017278,0,0,0
2022-01-06,1443-06-03,Mini Bts,2_Brick and Mortar,15.353628983725855,0,0,0
2022-01-06,1443-06-03,Mini Bts,2_E-Commerce,12.788337196587921,0,0,0
2022-01-06,1443-06-03,Mini Bts,2_Noon,12.323966608367243,0,0,0
2022-01-06,1443-06-03,Mini Bts,3_B2B,9.758669851323182,0,0,0
2022-01-06,1443-06-03,Mini Bts,3_Brick and Mortar,13.562025756383388,0,0,0
2022-01-06,1443-06-03,Mini Bts,3_E-Commerce,12.1784965320566,0,0,0
2022-01-06,1443-06-03,Mini Bts,3_Noon,11.425495673184608,0,0,0
2022-01-06,1443-06-03,Mini Bts,4_Brick and Mortar,13.568489135561428,0,0,0
2022-01-06,1443-06-03,Mini Bts,4_E-Commerce,12.494812303666013,0,0,0
2022-01-06,1443-06-03,Mini Bts,4_Noon,9.807127521831152,0,0,0
2022-01-06,1443-06-03,Mini Bts,5_Brick and Mortar,13.572099603744933,0,0,0
2022-01-06,1443-06-03,Mini Bts,5_E-Commerce,11.32385135532072,0,0,0
2022-01-06,1443-06-03,Mini Bts,5_Noon,10.891759539560853,0,0,0
2022-01-06,1443-06-03,Mini Bts,66_Brick and Mortar,8.0104591855535,0,0,0
2022-01-06,1443-06-03,Mini Bts,6_Brick and Mortar,11.152601435495635,0,0,0
2022-01-06,1443-06-03,Mini Bts,6_E-Commerce,9.668141958166533,0,0,0
2022-01-06,1443-06-03,Mini Bts,6_Noon,7.213436883542317,0,0,0
2022-01-07,1443-06-04,Mini Bts,102_Brick and Mortar,8.015641101871468,0,0,0
2022-01-07,1443-06-04,Mini Bts,105_Brick and Mortar,10.141965331328697,0,0,0
2022-01-07,1443-06-04,Mini Bts,105_E-Commerce,9.360943139685691,0,0,0
2022-01-07,1443-06-04,Mini Bts,13_Brick and Mortar,11.739680566777773,0,0,0
2022-01-07,1443-06-04,Mini Bts,13_E-Commerce,9.585116163652378,0,0,0
2022-01-07,1443-06-04,Mini Bts,17_E-Commerce,8.020227572490748,0,0,0
2022-01-07,1443-06-04,Mini Bts,1_Brick and Mortar,13.796474160039379,0,0,0
2022-01-07,1443-06-04,Mini Bts,1_E-Commerce,11.738265839101235,0,0,0
2022-01-07,1443-06-04,Mini Bts,1_Noon,9.819121763798808,0,0,0
2022-01-07,1443-06-04,Mini Bts,20_Brick and Mortar,12.854080713712156,0,0,0
2022-01-07,1443-06-04,Mini Bts,20_E-Commerce,7.972810680708783,0,0,0
2022-01-07,1443-06-04,Mini Bts,20_Services,7.3564139671770565,0,0,0
2022-01-07,1443-06-04,Mini Bts,2_Brick and Mortar,15.145237043783181,0,0,0
2022-01-07,1443-06-04,Mini Bts,2_E-Commerce,12.255180762004557,0,0,0
2022-01-07,1443-06-04,Mini Bts,3_Brick and Mortar,13.406773347362853,0,0,0
2022-01-07,1443-06-04,Mini Bts,3_E-Commerce,10.753560549381898,0,0,0
2022-01-07,1443-06-04,Mini Bts,4_Brick and Mortar,13.677641979274327,0,0,0
2022-01-07,1443-06-04,Mini Bts,4_E-Commerce,12.471902983909729,0,0,0
2022-01-07,1443-06-04,Mini Bts,4_Noon,9.831997458439817,0,0,0
2022-01-07,1443-06-04,Mini Bts,5_Brick and Mortar,13.564586334971953,0,0,0
2022-01-07,1443-06-04,Mini Bts,5_E-Commerce,11.242683378687271,0,0,0
2022-01-07,1443-06-04,Mini Bts,5_Noon,8.603633238561383,0,0,0
2022-01-07,1443-06-04,Mini Bts,66_Brick and Mortar,8.38938936492444,0,0,0
2022-01-07,1443-06-04,Mini Bts,6_Brick and Mortar,11.056820478951463,0,0,0
2022-01-07,1443-06-04,Mini Bts,6_E-Commerce,9.705574420387917,0,0,0
